Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Anterior/posterior Axis Specification (GO:0009948)	1/23	0.027253338971820428	0.06676482775008122	0	0	39.43478260869565	142.06692893534887	TBX3
Membrane Protein Ectodomain Proteolysis (GO:0006509)	1/23	0.027253338971820428	0.06676482775008122	0	0	39.43478260869565	142.06692893534887	BACE2
Cell Junction Maintenance (GO:0034331)	1/23	0.027253338971820428	0.06676482775008122	0	0	39.43478260869565	142.06692893534887	CLDN1
Positive Regulation of RNA Metabolic Process (GO:0051254)	1/24	0.028421974865496424	0.06676482775008122	0	0	37.71833648393195	134.2996324147713	WDR77
Regulatory ncRNA-mediated Post-Transcriptional Gene Silencing (GO:0035194)	1/24	0.028421974865496424	0.06676482775008122	0	0	37.71833648393195	134.2996324147713	AJUBA
Mammary Gland Development (GO:0030879)	1/24	0.028421974865496424	0.06676482775008122	0	0	37.71833648393195	134.2996324147713	TBX3
Nucleic Acid Metabolic Process (GO:0090304)	1/24	0.028421974865496424	0.06676482775008122	0	0	37.71833648393195	134.2996324147713	RAN
Skin Epidermis Development (GO:0098773)	1/24	0.028421974865496424	0.06676482775008122	0	0	37.71833648393195	134.2996324147713	CLDN1
Negative Regulation of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902176)	1/24	0.028421974865496424	0.06676482775008122	0	0	37.71833648393195	134.2996324147713	TRAP1
Regulation of Kinase Activity (GO:0043549)	1/25	0.029589265313707244	0.06821969502882502	0	0	36.14492753623188	127.2425658336615	ECT2
Negative Regulation of Hippo Signaling (GO:0035331)	1/25	0.029589265313707244	0.06821969502882502	0	0	36.14492753623188	127.2425658336615	AJUBA
Purine-containing Compound Biosynthetic Process (GO:0072522)	1/27	0.03191981578702488	0.07225485573608359	0	0	33.36120401337793	114.91361059553886	GART
Positive Regulation of RNA Splicing (GO:0033120)	1/27	0.03191981578702488	0.07225485573608359	0	0	33.36120401337793	114.91361059553886	WDR77
Regulation of Reactive Oxygen Species Biosynthetic Process (GO:1903426)	1/28	0.03308307875727454	0.07421339288794018	0	0	32.12399355877617	109.50212795754759	TRAP1
Telomere Maintenance via Telomere Lengthening (GO:0010833)	1/29	0.03424500218236718	0.07479829424043358	0	0	30.975155279503106	104.51682262493934	NHP2
Maintenance of Blood-Brain Barrier (GO:0035633)	1/29	0.03424500218236718	0.07479829424043358	0	0	30.975155279503106	104.51682262493934	CLDN1
Primary Neural Tube Formation (GO:0014020)	1/29	0.03424500218236718	0.07479829424043358	0	0	30.975155279503106	104.51682262493934	MTHFD1L
Tube Closure (GO:0060606)	1/30	0.03540558753206408	0.07666079387377353	0	0	29.90554722638681	99.91101302805887	MTHFD1L
Acute Inflammatory Response (GO:0002526)	1/31	0.03656483627172508	0.0778174720654662	0	0	28.907246376811596	95.64448851318153	C2CD4A
Neural Tube Closure (GO:0001843)	1/31	0.03656483627172508	0.0778174720654662	0	0	28.907246376811596	95.64448851318153	MTHFD1L
Peptide Hormone Processing (GO:0016486)	1/32	0.03772274987998822	0.07893247663963922	0	0	27.97335203366059	91.6824353057917	BACE2
Purine Nucleotide Metabolic Process (GO:0006163)	1/32	0.03772274987998822	0.07893247663963922	0	0	27.97335203366059	91.6824353057917	GART
Purine Ribonucleoside Triphosphate Metabolic Process (GO:0009205)	1/33	0.0388793298193351	0.08067460937512033	0	0	27.097826086956523	87.994568412846	RAN
Positive Regulation of Response to Wounding (GO:1903036)	1/34	0.04003457755707583	0.08170991648944165	0	0	26.27536231884058	84.55442492330164	CLDN1
Membrane Protein Proteolysis (GO:0033619)	1/34	0.04003457755707583	0.08170991648944165	0	0	26.27536231884058	84.55442492330164	BACE2
Cellular Response to Hydrogen Peroxide (GO:0070301)	1/36	0.04234108228264462	0.08571487388925618	0	0	24.771428571428572	78.32719402267635	ECT2
Melanosome Organization (GO:0032438)	1/37	0.04349234219507745	0.08594915243312926	0	0	24.082125603864736	75.50156731119475	BACE2
Embryonic Limb Morphogenesis (GO:0030326)	1/37	0.04349234219507745	0.08594915243312926	0	0	24.082125603864736	75.50156731119475	TBX3
Sister Chromatid Segregation (GO:0000819)	1/37	0.04349234219507745	0.08594915243312926	0	0	24.082125603864736	75.50156731119475	RAN
Nucleocytoplasmic Transport (GO:0006913)	1/38	0.04464227575868457	0.08684317706181607	0	0	23.430082256169214	72.84585913763358	NUP37
Integrated Stress Response Signaling (GO:0140467)	1/38	0.04464227575868457	0.08684317706181607	0	0	23.430082256169214	72.84585913763358	NFE2L3
Nuclear Transport (GO:0051169)	1/39	0.04579088442720472	0.08838705598739516	0	0	22.812356979405035	70.34578626791965	NUP37
Negative Regulation of DNA Metabolic Process (GO:0051053)	1/40	0.04693816966805759	0.08990464805651031	0	0	22.226309921962095	67.98859468163421	S100A11
Positive Regulation of Cytokinesis (GO:0032467)	1/41	0.04808413292751671	0.09139655800726458	0	0	21.669565217391305	65.76286224679887	ECT2
Positive Regulation of Neuron Differentiation (GO:0045666)	1/42	0.049228775670326956	0.09286337228720767	0	0	21.139978791092258	63.65833096505315	ECT2
Intracellular Protein Transport (GO:0006886)	2/301	0.050129551906162056	0.09360188609034654	0	0	5.982669504408634	17.906994839239246	CSE1L;RAN
Response to Hydrogen Peroxide (GO:0042542)	1/43	0.050372099341792924	0.09360188609034654	0	0	20.63561076604555	61.66576382608654	ECT2
Positive Regulation of Cell Division (GO:0051781)	1/45	0.052654795299780933	0.09711884466404039	0	0	19.695652173913043	57.98395993375175	ECT2
Regulation of Hippo Signaling (GO:0035330)	1/46	0.05379417048562001	0.09777188650306118	0	0	19.257004830917875	56.28033307969816	AJUBA
Positive Regulation of Wound Healing (GO:0090303)	1/46	0.05379417048562001	0.09777188650306118	0	0	19.257004830917875	56.28033307969816	CLDN1
